game_id,season,date,opponent_clean,team,team_type,player_number,player_name,goals,assists,points,shots_p1,shots_p2,shots_p3,shots_total,plus_minus,faceoffs,penalties,blocks
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,1,"Polston,Michael",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,2,"Powell,Trent",0,0,0,0,0,1,1,1,,1-2,2
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,3,"Casperson,AJ",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,4,"Dangos,Blake",0,0,0,2,1,1,4,-1,,1-2,1
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,5,"Griebel,Trevor",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,6,"Matheson,Blake",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,7,"Darby,Jack",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,9,"Baldassarra,Daniel",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,10,"Armstrong,Heath",0,0,0,0,0,0,0,0,1-2,,1
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,11,"McMahon,John",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,12,"Nelson,Brennan",0,1,1,0,0,0,0,1,3-7,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,15,"Leighton,Luca",0,0,0,0,1,0,1,-1,,,3
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,17,"Jennersjö,Sixten",1,0,1,0,0,5,5,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,18,"Lucarelli,Anthony",0,0,0,1,0,0,1,0,13-24,1-2,2
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,19,"Muller,Chad",0,0,0,0,0,0,0,0,1-1,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,22,"Benoit,Nate",0,0,0,2,0,1,3,-1,,,1
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,24,"Hause,Luke",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,26,"Lambert,Isaac",0,0,0,0,0,0,0,0,,,0
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,LIU,opponent,27,"Kinch,Dylan",0,0,0,0,1,1,2,0,,,0
