game_id,season,date,opponent_clean,bu_shots,opponent_shots,bu_shot_pct,opponent_shot_pct,bu_faceoffs_won,opponent_faceoffs_won,bu_faceoff_pct,opponent_faceoff_pct,bu_saves,opponent_saves,bu_save_pct,opponent_save_pct,bu_penalties,opponent_penalties,bu_penalty_minutes,opponent_penalty_minutes,bu_blocks,opponent_blocks,bu_pp_goals,bu_pp_opportunities,opponent_pp_goals,opponent_pp_opportunities,bu_goalie,opponent_goalie,bu_goalie_decision,opponent_goalie_decision,bu_goalie_minutes,opponent_goalie_minutes,bu_goals_against,opponent_goals_against,bu_goalie_saves,opponent_goalie_saves,team_stats_extraction_status,power_play_extraction_status,goalie_extraction_status
bu_2025-10-04_liu,2025-26,2025-10-04,LIU,32,38,,,30,32,,,36,28,,,5,5,10,10,9,18,2.0,5.0,0.0,5.0,"Yegorov,Mikhail","Duris,Daniel",W,L,59:40,57:37,2.0,4.0,36.0,28.0,team_stats_found,pp_found,goalie_found
bu_2025-10-05_rpi,2025-26,2025-10-05,RPI,29,21,,,28,24,,,21,26,,,1,4,2,8,6,13,1.0,4.0,0.0,1.0,"Lacroix,Max","Krawchuk,Nate",W,L,59:29,20:00,0.0,1.0,21.0,8.0,team_stats_found,pp_found,goalie_found
bu_2025-10-10_colgate,2025-26,2025-10-10,Colgate,36,26,,,28,27,,,24,30,,,6,4,12,8,11,17,2.0,3.0,1.0,5.0,"Yegorov,Mikhail","Dyck,Reid",W,L,60:00,59:25,2.0,5.0,24.0,30.0,team_stats_found,pp_found,goalie_found
bu_2025-10-11_colgate,2025-26,2025-10-11,Colgate,35,25,,,37,24,,,23,33,,,4,5,8,10,11,19,0.0,5.0,0.0,4.0,,,,,,,,,,,team_stats_found,pp_found,goalie_not_found
bu_2025-10-17_michigan_state,2025-26,2025-10-17,Michigan State,20,34,,,35,31,,,30,18,,,5,8,18,35,18,12,2.0,6.0,1.0,3.0,"Yegorov,Mikhail","Augustine,Trey",L,W,58:03,60:00,4.0,2.0,30.0,18.0,team_stats_found,pp_found,goalie_found
bu_2025-10-18_michigan_state,2025-26,2025-10-18,Michigan State,34,34,,,29,34,,,30,31,,,2,4,4,8,13,13,0.0,4.0,0.0,2.0,"Yegorov,Mikhail","Augustine,Trey",L,W,63:50,63:30,4.0,3.0,30.0,31.0,team_stats_found,pp_found,goalie_found
bu_2025-10-24_uconn,2025-26,2025-10-24,UConn,34,40,,,29,36,,,32,30,,,5,5,10,18,5,15,0.0,4.0,2.0,5.0,"Yegorov,Mikhail","Muszelik,Tyler",L,W,41:04,60:00,6.0,4.0,26.0,30.0,team_stats_found,pp_found,goalie_found
bu_2025-10-25_uconn,2025-26,2025-10-25,UConn,20,25,,,26,23,,,24,17,,,2,3,4,6,7,7,2.0,3.0,0.0,2.0,"Yegorov,Mikhail","Muszelik,Tyler",W,L,60:00,57:50,1.0,3.0,24.0,17.0,team_stats_found,pp_found,goalie_found
bu_2025-10-31_maine,2025-26,2025-10-31,Maine,28,35,,,32,30,,,30,24,,,7,4,22,8,19,9,1.0,4.0,0.0,5.0,"Yegorov,Mikhail","Boija,Albin",L,W,60:43,60:43,5.0,4.0,30.0,24.0,team_stats_found,pp_found,goalie_found
bu_2025-11-01_maine,2025-26,2025-11-01,Maine,31,46,,,30,39,,,38,26,,,7,3,14,6,27,10,1.0,3.0,1.0,7.0,"Lacroix,Max","Rousseau,Mathis",L,W,46:27,60:00,4.0,5.0,33.0,26.0,team_stats_found,pp_found,goalie_found
